filing|tech_field|variable|patents|mean|std_dev|kurtosis|skewness|min|p1|p10|p25|p50|p75|p90|p99|max
1983|18|"bwd_cits"|338|4.242604|3.63306|26.10216|3.550364|0|0|1|2|4|5|8|15|35
1983|19|"bwd_cits"|1187|3.715249|2.382085|11.59127|1.842746|0|0|1|2|3|5|7|12|23
1983|20|"bwd_cits"|1013|4.391905|2.521335|5.545618|.8868411|0|0|1|3|4|6|7|12|18
1983|21|"bwd_cits"|541|3.829945|2.408455|6.962577|1.256532|0|0|1|2|4|5|7|11|19
1983|22|"bwd_cits"|1|5||||5|5|5|5|5|5|5|5|5
1983|23|"bwd_cits"|1052|4.496198|2.687495|10.75865|1.487202|0|0|2|3|4|6|8|12|28
1983|24|"bwd_cits"|360|4.063889|2.498763|4.844718|.9452932|0|0|1|2.5|4|5|7|11|15
1983|25|"bwd_cits"|1256|4.355892|2.718377|4.916489|.9175748|0|0|1|3|4|6|8|13|18
1983|26|"bwd_cits"|1167|4.709512|2.879293|5.865598|.9610657|0|0|1|3|4|6|8|13|21
1983|27|"bwd_cits"|967|4.723888|2.63738|5.433985|.9225978|0|0|2|3|4|6|8|13|18
1983|28|"bwd_cits"|1097|4.106655|2.597465|6.098393|1.246035|0|0|1|2|4|5|7|13|18
1983|29|"bwd_cits"|1421|4.574244|2.74419|5.101577|.8852069|0|0|1|3|4|6|8|13|21
1983|30|"bwd_cits"|634|5.132492|3.173466|5.975115|1.081436|0|0|1|3|5|7|9|15|22
1983|31|"bwd_cits"|1304|5.02454|3.024232|15.6861|1.902945|0|0|2|3|5|6|9|13|37
1983|32|"bwd_cits"|1160|4.583621|2.983112|8.360485|1.212458|0|0|1|3|4|6|8|13|30
1983|33|"bwd_cits"|565|4.456637|2.902734|4.217397|.7744907|0|0|0|3|4|6|8|14|16
1983|34|"bwd_cits"|637|4.747253|3.101609|4.655037|.9325346|0|0|1|3|4|6|9|13|19
1983|35|"bwd_cits"|1197|4.401838|2.7468|6.245921|1.012073|0|0|1|3|4|6|8|14|22
1984|1|"bwd_cits"|2287|4.067337|2.403303|7.6517|1.35431|0|0|1|3|4|5|7|12|20
1984|2|"bwd_cits"|1452|3.778237|2.490864|7.162435|1.253503|0|0|1|2|3|5|7|11|24
1984|3|"bwd_cits"|618|3.428802|2.279273|6.594166|1.203133|0|0|1|2|3|5|6|10|16
1984|4|"bwd_cits"|235|2.540426|2.084093|6.018354|1.312443|0|0|0|1|2|4|5|10|13
1984|5|"bwd_cits"|580|3.041379|2.090775|6.254999|1.14801|0|0|1|2|3|4|6|10|15
1984|6|"bwd_cits"|982|2.53055|2.099605|8.207018|1.514786|0|0|0|1|2|4|5|9|17
1984|7|"bwd_cits"|11|3.363636|2.90767|2.349518|.645248|0|0|0|1|3|6|7|9|9
1984|8|"bwd_cits"|787|3.001271|2.085024|6.830639|1.272469|0|0|1|2|3|4|5|11|15
1984|9|"bwd_cits"|1209|4.186931|11.01165|665.174|24.31428|0|0|1|2|4|5|7|13|327
1984|10|"bwd_cits"|1915|3.751436|2.462645|32.04247|2.590202|0|0|1|2|4|5|7|11|41
1984|11|"bwd_cits"|236|3.881356|2.67588|4.23373|.8001866|0|0|0|2|4|5|7|12|15
1984|12|"bwd_cits"|538|4.057621|2.662665|4.676338|.8835756|0|0|1|2|4|5|7|12|17
1984|13|"bwd_cits"|1228|4.510586|3.020557|12.22523|1.596929|0|0|1|3|4|6|8|13|31
1984|14|"bwd_cits"|2559|3.04494|3.279156|548.9941|17.21557|0|0|1|1|3|4|6|10|115
1984|15|"bwd_cits"|934|2.639186|2.416761|9.097836|1.74457|0|0|0|1|2|4|6|10|19
1984|16|"bwd_cits"|999|2.815816|2.500523|45.00326|3.909162|0|0|0|1|2|4|6|11|38
1984|17|"bwd_cits"|1768|3.31052|2.157432|11.34269|1.724263|0|0|1|2|3|4|6|9|22
1984|18|"bwd_cits"|356|4.264045|3.679092|41.50315|4.364322|0|0|1|2|4|5|8|15|44
1984|19|"bwd_cits"|1329|3.580888|2.59975|66.89435|5.04103|0|0|1|2|3|5|6|10|46
1984|20|"bwd_cits"|1091|4.212649|2.656249|12.06771|1.758429|0|0|1|3|4|5|7|13|29
1984|21|"bwd_cits"|745|3.761074|2.402807|5.183025|1.04138|0|0|1|2|4|5|7|11|16
1984|22|"bwd_cits"|1|2||||2|2|2|2|2|2|2|2|2
1984|23|"bwd_cits"|1169|4.349016|2.642125|8.933263|1.395078|0|0|1|3|4|6|7|13|25
1984|24|"bwd_cits"|468|3.848291|2.686404|20.92614|2.532975|0|0|1|2|4|5|7|12|29
1984|25|"bwd_cits"|1525|4.069508|2.462399|4.999508|.8713627|0|0|1|2|4|5|7|11|20
1984|26|"bwd_cits"|1312|4.66311|2.815059|8.547508|1.306257|0|0|2|3|4|6|8|13|28
1984|27|"bwd_cits"|1134|4.718695|2.605796|3.850841|.58871|0|0|2|3|4|6|8|12|17
1984|28|"bwd_cits"|1331|3.950413|2.585781|11.10943|1.749284|0|0|1|2|4|5|7|12|27
1984|29|"bwd_cits"|1708|4.559134|3.019661|10.73664|1.753231|0|0|1|3|4|6|8|15|33
1984|30|"bwd_cits"|739|5.189445|3.436508|9.894316|1.765276|0|0|2|3|5|7|10|14|28
1984|31|"bwd_cits"|1541|5.065542|3.114522|8.493373|1.352359|0|0|2|3|5|7|9|14|30
1984|32|"bwd_cits"|1342|4.356185|2.756018|5.083192|.8613662|0|0|1|3|4|6|8|13|22
1984|33|"bwd_cits"|668|4.110778|2.84054|16.31865|1.756541|0|0|0|2|4|6|7|11|32
1984|34|"bwd_cits"|735|4.64898|2.965615|4.693725|.9528755|0|0|1|3|4|6|8|14|19
1984|35|"bwd_cits"|1419|4.515856|3.159644|37.39541|3.005971|0|0|1|3|4|6|8|13|51
1985|1|"bwd_cits"|2316|3.931347|2.427709|6.726766|1.136884|0|0|1|2|4|5|7|11|23
1985|2|"bwd_cits"|1566|3.568965|2.422479|7.540292|1.309395|0|0|1|2|3|5|6|11|24
1985|3|"bwd_cits"|730|3.175343|2.104784|4.823843|.8811057|0|0|.5|2|3|4|6|10|15
1985|4|"bwd_cits"|279|2.616488|1.892777|6.378066|1.159891|0|0|0|1|2|4|5|9|13
1985|5|"bwd_cits"|576|2.744792|1.909921|4.132647|.8810533|0|0|0|1|3|4|5|8|12
1985|6|"bwd_cits"|1073|2.530289|2.111903|5.440798|1.236778|0|0|0|1|2|4|5|10|13
1985|7|"bwd_cits"|9|3.666667|1.5|3.87037|1.073755|2|2|2|3|4|4|7|7|7
1985|8|"bwd_cits"|882|2.834467|2.323407|18.16616|2.58775|0|0|0|1|3|4|5|11|22
1985|9|"bwd_cits"|1354|3.820532|3.326459|124.984|7.585101|0|0|1|2|4|5|7|12|68
1985|10|"bwd_cits"|2073|3.648336|2.448567|6.984235|1.182393|0|0|1|2|3|5|7|12|21
1985|11|"bwd_cits"|262|3.545802|2.442402|5.069445|.8613092|0|0|0|2|3|5|6|10|15
1985|12|"bwd_cits"|495|4.248485|2.692183|4.164031|.7516894|0|0|1|2|4|6|8|13|16
1985|13|"bwd_cits"|1372|4.550292|3.355817|12.0657|1.68434|0|0|0|2|4|6|8|15|37
1985|14|"bwd_cits"|2739|2.922234|2.618585|73.762|5.116632|0|0|1|1|2|4|6|11|55
